province,district,lat,lon
Adana,Aladağ,37.5154,35.3069
Adana,Ceyhan,37.0584,35.876
Adana,Feke,37.8988,35.7832
Adana,Karaisalı,37.2852,35.1896
Adana,Karataş,36.6693,35.2808
Adana,Kozan,37.5205,35.7416
Adana,Pozantı,37.4881,34.924
Adana,Saimbeyli,37.9487,36.0813
Adana,Sarıçam,37.1111,35.4732
Adana,Seyhan,36.9156,35.2328
Adana,Tufanbeyli,38.2287,36.191
Adana,Yumurtalık,36.7331,35.558
Adana,Yüreğir,36.8703,35.4799
Adana,Çukurova,37.0975,35.1511
Adana,İmamoğlu,37.3072,35.6028
Adıyaman,Adıyaman Merkez,37.7111,38.2771
Adıyaman,Besni,37.6067,37.8747
Adıyaman,Gerger,38.0147,38.9625
Adıyaman,Gölbaşı,37.762,37.6099
Adıyaman,Kâhta,37.7851,38.7292
Adıyaman,Samsat,37.5673,38.469
Adıyaman,Sincik,38.0546,38.5578
Adıyaman,Tut,37.8079,37.9515
Adıyaman,Çelikhan,38.0812,38.2637
Afyonkarahisar,Afyonkarahisar Merkez,38.7806,30.6089
Afyonkarahisar,Bayat,39.009,30.914
Afyonkarahisar,Başmakçı,37.8862,30.0459
Afyonkarahisar,Bolvadin,38.7873,31.1696
Afyonkarahisar,Dazkırı,37.9267,29.8252
Afyonkarahisar,Dinar,38.154,30.2035
Afyonkarahisar,Emirdağ,39.0197,31.2752
Afyonkarahisar,Evciler,38.074,29.9348
Afyonkarahisar,Hocalar,38.5868,29.9739
Afyonkarahisar,Kızılören,38.272,30.1648
Afyonkarahisar,Sandıklı,38.4799,30.1678
Afyonkarahisar,Sinanpaşa,38.714,30.2496
Afyonkarahisar,Sultandağı,38.5906,31.3385
Afyonkarahisar,Çay,38.504,30.9203
Afyonkarahisar,Çobanlar,38.7401,30.8308
Afyonkarahisar,İhsaniye,39.0558,30.4748
Afyonkarahisar,İscehisar,38.9229,30.7599
Afyonkarahisar,Şuhut,38.4263,30.5539
Aksaray,Aksaray Merkez,38.3914,33.9329
Aksaray,Ağaçören,38.793,33.8934
Aksaray,Eskil,38.3256,33.3963
Aksaray,Gülağaç,38.4172,34.3231
Aksaray,Güzelyurt,38.2588,34.3324
Aksaray,Ortaköy,38.7968,34.1529
Aksaray,Sarıyahşi,38.9665,33.8404
Aksaray,Sultanhanı,38.2113,33.6223
Amasya,Amasya,40.634,35.8164
Amasya,Göynücek,40.377,35.5324
Amasya,Gümüşhacıköy,40.8892,35.1934
Amasya,Hamamözü,40.7934,35.0584
Amasya,Merzifon,40.8414,35.4593
Amasya,Suluova,40.7827,35.6821
Amasya,Taşova,40.7851,36.2674
Ankara,Akyurt,40.1282,33.1475
Ankara,Altındağ,39.9897,32.9808
Ankara,Ayaş,40.0277,32.285
Ankara,Balâ,39.4682,33.1261
Ankara,Beypazarı,40.179,31.909
Ankara,Elmadağ,39.8815,33.2287
Ankara,Etimesgut,39.8683,32.6022
Ankara,Evren,39.0439,33.7687
Ankara,Gölbaşı,39.5346,32.7504
Ankara,Güdül,40.159,32.227
Ankara,Haymana,39.3008,32.5304
Ankara,Kahramankazan,40.1814,32.6661
Ankara,Kalecik,40.1809,33.4783
Ankara,Keçiören,40.0769,32.8381
Ankara,Kızılcahamam,40.4888,32.7207
Ankara,Mamak,39.9044,33.0253
Ankara,Nallıhan,40.1889,31.306
Ankara,Polatlı,39.453,32.1753
Ankara,Pursaklar,40.1085,32.8669
Ankara,Sincan,39.8878,32.5209
Ankara,Yenimahalle,40.0092,32.6843
Ankara,Çamlıdere,40.4979,32.3459
Ankara,Çankaya,39.7975,32.9456
Ankara,Çubuk,40.3193,33.0588
Ankara,Şereflikoçhisar,38.976,33.5334
Antalya,Akseki,37.0952,31.8282
Antalya,Aksu,37.0496,30.8468
Antalya,Alanya,36.5491,32.2247
Antalya,Demre,36.2935,29.952
Antalya,Döşemealtı,37.0973,30.576
Antalya,Elmalı,36.7128,29.921
Antalya,Finike,36.4059,30.0767
Antalya,Gazipaşa,36.3343,32.4486
Antalya,Gündoğmuş,36.8745,32.1082
Antalya,Kaş,36.3916,29.6168
Antalya,Kemer,36.5854,30.489
Antalya,Kepez,37.024,30.7139
Antalya,Konyaaltı,36.8152,30.4641
Antalya,Korkuteli,37.074,30.1761
Antalya,Kumluca,36.5296,30.2646
Antalya,Manavgat,37.0584,31.323
Antalya,Muratpaşa,36.8881,30.7384
Antalya,Serik,37.0895,31.0277
Antalya,İbradı,37.145,31.527
Ardahan,Ardahan Merkez,41.0713,42.6792
Ardahan,Damal,41.348,42.8485
Ardahan,Göle,40.8225,42.6808
Ardahan,Hanak,41.2656,42.8009
Ardahan,Posof,41.4886,42.6756
Ardahan,Çıldır,41.1799,43.3509
Artvin,Ardanuç,41.0914,42.1549
Artvin,Arhavi,41.2337,41.4205
