province,district,year,month,precip_mm,sunshine_hours_month
Malatya,Akçadağ,2015,1,133.2,221.0
Malatya,Akçadağ,2015,2,97.9,237.0
Malatya,Akçadağ,2015,3,121.7,283.0
Malatya,Akçadağ,2015,4,61.6,331.0
Malatya,Akçadağ,2015,5,63.1,397.0
Malatya,Akçadağ,2015,6,20.6,419.0
Malatya,Akçadağ,2015,7,0.6,431.0
Malatya,Akçadağ,2015,8,3.9,400.0
Malatya,Akçadağ,2015,9,6.4,356.0
Malatya,Akçadağ,2015,10,66.1,292.0
Malatya,Akçadağ,2015,11,16.7,260.0
Malatya,Akçadağ,2015,12,5.3,265.0
Malatya,Akçadağ,2016,1,117.1,185.0
Malatya,Akçadağ,2016,2,78.4,242.0
Malatya,Akçadağ,2016,3,55.8,319.0
Malatya,Akçadağ,2016,4,25.4,374.0
Malatya,Akçadağ,2016,5,70.2,387.0
Malatya,Akçadağ,2016,6,20.6,413.0
Malatya,Akçadağ,2016,7,3.1,427.0
Malatya,Akçadağ,2016,8,3.8,402.0
Malatya,Akçadağ,2016,9,26.5,352.0
Malatya,Akçadağ,2016,10,3.1,322.0
Malatya,Akçadağ,2016,11,40.1,266.0
Malatya,Akçadağ,2016,12,113.9,199.0
Malatya,Akçadağ,2017,1,50.1,239.0
Malatya,Akçadağ,2017,2,0.9,281.0
Malatya,Akçadağ,2017,3,79.3,312.0
Malatya,Akçadağ,2017,4,52.9,354.0
Malatya,Akçadağ,2017,5,63.4,372.0
Malatya,Akçadağ,2017,6,1.8,421.0
Malatya,Akçadağ,2017,7,0.3,428.0
Malatya,Akçadağ,2017,8,0.3,401.0
Malatya,Akçadağ,2017,9,0.6,353.0
Malatya,Akçadağ,2017,10,5.7,307.0
Malatya,Akçadağ,2017,11,42.2,246.0
Malatya,Akçadağ,2017,12,19.6,236.0
Malatya,Akçadağ,2018,1,117.5,177.0
Malatya,Akçadağ,2018,2,46.6,215.0
Malatya,Akçadağ,2018,3,34.3,305.0
Malatya,Akçadağ,2018,4,8.2,344.0
Malatya,Akçadağ,2018,5,65.2,348.0
Malatya,Akçadağ,2018,6,9.9,406.0
Malatya,Akçadağ,2018,7,0.0,425.0
Malatya,Akçadağ,2018,8,0.0,402.0
Malatya,Akçadağ,2018,9,0.6,350.0
Malatya,Akçadağ,2018,10,50.4,288.0
Malatya,Akçadağ,2018,11,40.3,222.0
Malatya,Akçadağ,2018,12,133.7,163.0
Malatya,Akçadağ,2019,1,95.1,162.0
Malatya,Akçadağ,2019,2,58.2,189.0
Malatya,Akçadağ,2019,3,70.3,242.0
Malatya,Akçadağ,2019,4,69.1,284.0
Malatya,Akçadağ,2019,5,15.4,379.0
Malatya,Akçadağ,2019,6,1.0,419.0
Malatya,Akçadağ,2019,7,0.0,426.0
Malatya,Akçadağ,2019,8,5.0,400.0
Malatya,Akçadağ,2019,9,1.2,355.0
Malatya,Akçadağ,2019,10,6.4,314.0
