province,district,month,cloud_cover_pct
Istanbul,Ümraniye,1,68.92
Istanbul,Ümraniye,2,64.69
Istanbul,Ümraniye,3,63.43
Istanbul,Ümraniye,4,49.43
Istanbul,Ümraniye,5,52.48
Istanbul,Ümraniye,6,40.06
Istanbul,Ümraniye,7,21.12
Istanbul,Ümraniye,8,24.11
Istanbul,Ümraniye,9,37.09
Istanbul,Ümraniye,10,49.13
Istanbul,Ümraniye,11,58.9
Istanbul,Ümraniye,12,64.21
Istanbul,Üsküdar,1,68.55
Istanbul,Üsküdar,2,64.07
Istanbul,Üsküdar,3,62.69
Istanbul,Üsküdar,4,49.01
Istanbul,Üsküdar,5,51.79
Istanbul,Üsküdar,6,38.98
Istanbul,Üsküdar,7,19.23
Istanbul,Üsküdar,8,22.26
Istanbul,Üsküdar,9,35.96
Istanbul,Üsküdar,10,48.16
Istanbul,Üsküdar,11,58.16
Istanbul,Üsküdar,12,63.73
Istanbul,Şile,1,69.33
Istanbul,Şile,2,66.2
Istanbul,Şile,3,64.43
Istanbul,Şile,4,51.8
Istanbul,Şile,5,53.86
Istanbul,Şile,6,42.19
Istanbul,Şile,7,25.82
Istanbul,Şile,8,29.32
Istanbul,Şile,9,44.1
Istanbul,Şile,10,54.69
Istanbul,Şile,11,62.59
Istanbul,Şile,12,65.65
Istanbul,Şişli,1,68.55
Istanbul,Şişli,2,64.07
Istanbul,Şişli,3,62.69
Istanbul,Şişli,4,49.01
Istanbul,Şişli,5,51.79
Istanbul,Şişli,6,38.98
Istanbul,Şişli,7,19.23
Istanbul,Şişli,8,22.26
Istanbul,Şişli,9,35.96
Istanbul,Şişli,10,48.16
Istanbul,Şişli,11,58.16
Istanbul,Şişli,12,63.73
Izmir,Aliağa,1,51.78
Izmir,Aliağa,2,48.93
Izmir,Aliağa,3,47.91
Izmir,Aliağa,4,38.99
Izmir,Aliağa,5,38.12
Izmir,Aliağa,6,22.07
Izmir,Aliağa,7,4.06
Izmir,Aliağa,8,5.9
Izmir,Aliağa,9,17.01
Izmir,Aliağa,10,25.22
Izmir,Aliağa,11,41.31
Izmir,Aliağa,12,47.91
Izmir,Balçova,1,49.42
Izmir,Balçova,2,47.09
Izmir,Balçova,3,46.53
Izmir,Balçova,4,37.99
Izmir,Balçova,5,36.99
Izmir,Balçova,6,21.17
Izmir,Balçova,7,3.37
Izmir,Balçova,8,4.95
Izmir,Balçova,9,15.94
Izmir,Balçova,10,23.98
Izmir,Balçova,11,39.8
Izmir,Balçova,12,45.89
Izmir,Bayındır,1,52.99
Izmir,Bayındır,2,51.13
Izmir,Bayındır,3,50.26
Izmir,Bayındır,4,40.15
Izmir,Bayındır,5,39.71
Izmir,Bayındır,6,24.71
Izmir,Bayındır,7,5.11
Izmir,Bayındır,8,7.57
Izmir,Bayındır,9,16.31
Izmir,Bayındır,10,25.66
Izmir,Bayındır,11,40.56
Izmir,Bayındır,12,49.43
Izmir,Bergama,1,57.72
Izmir,Bergama,2,54.56
Izmir,Bergama,3,52.36
Izmir,Bergama,4,42.62
Izmir,Bergama,5,42.09
Izmir,Bergama,6,26.15
Izmir,Bergama,7,6.9
Izmir,Bergama,8,9.2
Izmir,Bergama,9,20.88
Izmir,Bergama,10,29.78
Izmir,Bergama,11,45.54
Izmir,Bergama,12,53.38
Izmir,Beydağ,1,51.24
Izmir,Beydağ,2,48.34
Izmir,Beydağ,3,48.68
Izmir,Beydağ,4,39.87
Izmir,Beydağ,5,38.95
Izmir,Beydağ,6,24.72
Izmir,Beydağ,7,6.08
Izmir,Beydağ,8,8.43
Izmir,Beydağ,9,15.37
Izmir,Beydağ,10,23.98
Izmir,Beydağ,11,38.74
Izmir,Beydağ,12,46.63
Izmir,Bornova,1,51.1
Izmir,Bornova,2,50.11
Izmir,Bornova,3,48.61
Izmir,Bornova,4,39.38
Izmir,Bornova,5,37.99
Izmir,Bornova,6,22.68
Izmir,Bornova,7,4.0
Izmir,Bornova,8,6.03
Izmir,Bornova,9,16.46
Izmir,Bornova,10,24.5
Izmir,Bornova,11,40.89
Izmir,Bornova,12,48.22
Adiyaman,Tut,1,58.51
Adiyaman,Tut,2,52.06
