province,district,month,direction,freq_pct
Istanbul,Ümraniye,0,N,13.34
Istanbul,Ümraniye,0,NE,43.91
Istanbul,Ümraniye,0,E,7.19
Istanbul,Ümraniye,0,SE,6.27
Istanbul,Ümraniye,0,S,7.96
Istanbul,Ümraniye,0,SW,14.35
Istanbul,Ümraniye,0,W,3.78
Istanbul,Ümraniye,0,NW,3.2
Istanbul,Ümraniye,1,N,16.8
Istanbul,Ümraniye,1,NE,23.29
Istanbul,Ümraniye,1,E,6.06
Istanbul,Ümraniye,1,SE,12.66
Istanbul,Ümraniye,1,S,13.1
Istanbul,Ümraniye,1,SW,19.7
Istanbul,Ümraniye,1,W,4.17
Istanbul,Ümraniye,1,NW,4.21
Istanbul,Ümraniye,2,N,16.18
Istanbul,Ümraniye,2,NE,28.34
Istanbul,Ümraniye,2,E,5.79
Istanbul,Ümraniye,2,SE,8.14
Istanbul,Ümraniye,2,S,12.15
Istanbul,Ümraniye,2,SW,23.9
Istanbul,Ümraniye,2,W,2.78
Istanbul,Ümraniye,2,NW,2.72
Istanbul,Ümraniye,3,N,13.78
Istanbul,Ümraniye,3,NE,32.14
Istanbul,Ümraniye,3,E,7.14
Istanbul,Ümraniye,3,SE,7.07
Istanbul,Ümraniye,3,S,11.88
Istanbul,Ümraniye,3,SW,20.52
Istanbul,Ümraniye,3,W,3.67
Istanbul,Ümraniye,3,NW,3.8
Istanbul,Ümraniye,4,N,11.79
Istanbul,Ümraniye,4,NE,36.04
Istanbul,Ümraniye,4,E,7.99
Istanbul,Ümraniye,4,SE,6.56
Istanbul,Ümraniye,4,S,10.54
Istanbul,Ümraniye,4,SW,18.89
Istanbul,Ümraniye,4,W,5.06
Istanbul,Ümraniye,4,NW,3.14
Istanbul,Ümraniye,5,N,12.62
Istanbul,Ümraniye,5,NE,41.38
Istanbul,Ümraniye,5,E,7.23
Istanbul,Ümraniye,5,SE,4.88
Istanbul,Ümraniye,5,S,8.0
Istanbul,Ümraniye,5,SW,15.97
Istanbul,Ümraniye,5,W,6.21
Istanbul,Ümraniye,5,NW,3.71
Istanbul,Ümraniye,6,N,15.76
Istanbul,Ümraniye,6,NE,50.69
Istanbul,Ümraniye,6,E,6.24
Istanbul,Ümraniye,6,SE,2.4
Istanbul,Ümraniye,6,S,4.53
Istanbul,Ümraniye,6,SW,12.07
Istanbul,Ümraniye,6,W,4.1
Istanbul,Ümraniye,6,NW,4.21
Istanbul,Ümraniye,7,N,14.69
Istanbul,Ümraniye,7,NE,67.9
Istanbul,Ümraniye,7,E,6.53
Istanbul,Ümraniye,7,SE,1.21
Istanbul,Ümraniye,7,S,1.28
Istanbul,Ümraniye,7,SW,3.28
Istanbul,Ümraniye,7,W,2.45
Istanbul,Ümraniye,7,NW,2.66
Istanbul,Ümraniye,8,N,13.66
Istanbul,Ümraniye,8,NE,75.09
Istanbul,Ümraniye,8,E,4.37
Istanbul,Ümraniye,8,SE,0.85
Istanbul,Ümraniye,8,S,0.86
Istanbul,Ümraniye,8,SW,2.14
Istanbul,Ümraniye,8,W,1.83
Istanbul,Ümraniye,8,NW,1.21
Istanbul,Ümraniye,9,N,11.26
Istanbul,Ümraniye,9,NE,57.99
Istanbul,Ümraniye,9,E,8.18
